micro_id,year,ava_id,ava,tank
2019_OR1_D,2019,OR1,OR,D
2019_AS2_A,2019,AS2,AS,A
2019_AS2_B,2019,AS2,AS,B
2019_AS2_C,2019,AS2,AS,C
2019_AS2_D,2019,AS2,AS,D
2019_SMV1_A,2019,SMV1,SMV,A
2019_SMV1_B,2019,SMV1,SMV,B
2019_SMV1_C,2019,SMV1,SMV,C
2019_SMV1_D,2019,SMV1,SMV,D
2019_AS1_A,2019,AS1,AS,A
2019_AS1_B,2019,AS1,AS,B
2019_AS1_C,2019,AS1,AS,C
2019_AS1_D,2019,AS1,AS,D
2019_SRH1_A,2019,SRH1,SRH,A
2019_SRH1_B,2019,SRH1,SRH,B
2019_SRH1_C,2019,SRH1,SRH,C
2019_SRH1_D,2019,SRH1,SRH,D
2019_SMV2_A,2019,SMV2,SMV,A
2019_SMV2_B,2019,SMV2,SMV,B
2019_SMV2_C,2019,SMV2,SMV,C
2019_SMV2_D,2019,SMV2,SMV,D
2019_OR2_A,2019,OR2,OR,A
2019_OR2_B,2019,OR2,OR,B
2019_OR2_C,2019,OR2,OR,C
2019_OR2_D,2019,OR2,OR,D
